Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2018;2047
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2017;1872
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2016;1679
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2015;1584
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2014;1517
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;;;2013;1451
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2020;1490
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2019;1786
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2018;1747
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2017;1666
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2016;1543
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2015;1358
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2014;1351
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2013;1312
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2020;765
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2019;946
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2018;856
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2017;871
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2016;765
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2015;718
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2014;724
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2013;706
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2020;725
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2019;840
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2018;891
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2017;795
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2016;778
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2015;640
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2014;627
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2013;606
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2020;203
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2019;287
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2018;300
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2017;206
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2016;136
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2015;226
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2014;166
Total Nacional;10 Comunitat Valenciana;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2013;139
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2020;564
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2019;702
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2018;786
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2017;732
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2016;673
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2015;534
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2014;484
Total Nacional;10 Comunitat Valenciana;A Total Delitos;R Resto de delitos;;;2013;317
Total Nacional;11 Extremadura;A Total Delitos;;;;2020;6115
Total Nacional;11 Extremadura;A Total Delitos;;;;2019;7014
Total Nacional;11 Extremadura;A Total Delitos;;;;2018;7261
Total Nacional;11 Extremadura;A Total Delitos;;;;2017;7590
Total Nacional;11 Extremadura;A Total Delitos;;;;2016;7659
Total Nacional;11 Extremadura;A Total Delitos;;;;2015;7000
Total Nacional;11 Extremadura;A Total Delitos;;;;2014;6392
Total Nacional;11 Extremadura;A Total Delitos;;;;2013;6213
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2020;17
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2019;20
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2018;26
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2017;23
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2016;21
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2015;27
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2014;20
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;;;2013;32
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;4
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;5
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;16
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;3
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;3
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;11
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;3
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;17
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;3
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;2
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;2
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;4
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;2
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;5
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;10
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;13
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;8
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;20
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;14
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;14
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;17
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;10
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;0
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;11 Extremadura;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;0
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2020;1044
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2019;1264
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2018;1392
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2017;1420
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2016;1394
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2015;1039
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2014;927
Total Nacional;11 Extremadura;A Total Delitos;3 Lesiones;;;2013;983
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2020;693
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2019;729
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2018;681
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2017;674
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2016;585
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2015;392
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2014;350
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;;;2013;382
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;553
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;570
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;536
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;528
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;468
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;305
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;281
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;289
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;140
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;159
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;145
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;146
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;117
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;87
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;69
Total Nacional;11 Extremadura;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;93
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2020;251
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2019;218
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2018;201
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2017;213
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2016;174
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2015;127
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2014;68
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;;;2013;105
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;250
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;218
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;198
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;212
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;174
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;124
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;61
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;105
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;1
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;3
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;3
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;6
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;1
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;0
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;1
Total Nacional;11 Extremadura;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;0
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;68
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;67
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;53
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;58
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;55
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;82
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;56
Total Nacional;11 Extremadura;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;69
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2020;117
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2019;138
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2018;154
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2017;179
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2016;231
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2015;256
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2014;232
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;;;2013;177
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;117
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;138
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;153
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;179
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;231
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;256
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;232
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;177
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;2
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;2
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;4
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;10
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;20
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;6
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;1
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;1
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;1
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;1
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;116
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;136
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;151
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;174
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;220
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;235
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2014;226
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2013;177
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2020;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2019;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2018;1
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2017;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2016;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2015;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2014;0
Total Nacional;11 Extremadura;A Total Delitos;12 Contra las relaciones familiares;12.99 Otros delitos contra las relaciones familiares;;2013;0
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2020;1566
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2019;2047
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2018;2251
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2017;2417
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2016;2459
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2015;1892
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2014;1549
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;;;2013;1369
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2020;677
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2019;833
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2018;940
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2017;954
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2016;1019
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2015;454
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2014;267
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.1 Hurtos;;2013;244
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2020;272
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2019;370
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2018;428
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2017;575
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2016;561
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2015;750
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2014;727
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;;2013;700
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2020;77
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2019;83
Total Nacional;11 Extremadura;A Total Delitos;13 Contra el patrimonio y el orden socioeconómico;13.2 Robos;13.2.1 Robo con violencia;2018;80
